Total experience,,To next level
Erratic,Fast,Medium Fast,Medium Slow,Slow,Fluctu­ating,Level,Erratic,Fast,Medium Fast,Medium Slow,Slow,Fluctu­ating
0,0,0,0,0,0,1,15,6,8,9,10,4
15,6,8,9,10,4,2,37,15,19,48,23,9
52,21,27,57,33,13,3,70,30,37,39,47,19
122,51,64,96,80,32,4,115,49,61,39,76,33
237,100,125,135,156,65,5,169,72,91,44,114,47
406,172,216,179,270,112,6,231,102,127,57,158,66
637,274,343,236,428,178,7,305,135,169,78,212,98
942,409,512,314,640,276,8,384,174,217,105,271,117
1,326,583,729,419,911,393,9,474,217,271,141,339,147
"1,800,800,""1,000"",560,""1,250"",540,10,569,264,331,182,413,205"
"2,369,""1,064"",""1,331"",742,""1,663"",745,11,672,318,397,231,497,222"
"3,041,""1,382"",""1,728"",973,""2,160"",967,12,781,375,469,288,586,263"
"3,822,""1,757"",""2,197"",""1,261"",""2,746"",""1,230"",13,897,438,547,351,684,361"
"4,719,""2,195"",""2,744"",""1,612"",""3,430"",""1,591"",14,""1,018"",505,631,423,788,366"
"5,737,""2,700"",""3,375"",""2,035"",""4,218"",""1,957"",15,""1,144"",576,721,500,902,500"
"6,881,""3,276"",""4,096"",""2,535"",""5,120"",""2,457"",16,""1,274"",654,817,585,""1,021"",589"
"8,155,""3,930"",""4,913"",""3,120"",""6,141"",""3,046"",17,""1,409"",735,919,678,""1,149"",686"
"9,564,""4,665"",""5,832"",""3,798"",""7,290"",""3,732"",18,""1,547"",822,""1,027"",777,""1,283"",794"
"11,111,""5,487"",""6,859"",""4,575"",""8,573"",""4,526"",19,""1,689"",913,""1,141"",885,""1,427"",914"
"12,800,""6,400"",""8,000"",""5,460"",""10,000"",""5,440"",20,""1,832"",""1,008"",""1,261"",998,""1,576"",""1,042"""
"14,632,""7,408"",""9,261"",""6,458"",""11,576"",""6,482"",21,""1,978"",""1,110"",""1,387"",""1,119"",""1,734"",""1,184"""
"16,610,""8,518"",""10,648"",""7,577"",""13,310"",""7,666"",22,""2,127"",""1,215"",""1,519"",""1,248"",""1,898"",""1,337"""
"18,737,""9,733"",""12,167"",""8,825"",""15,208"",""9,003"",23,""2,275"",""1,326"",""1,657"",""1,383"",""2,072"",""1,503"""
"21,012,""11,059"",""13,824"",""10,208"",""17,280"",""10,506"",24,""2,425"",""1,441"",""1,801"",""1,527"",""2,251"",""1,681"""
"23,437,""12,500"",""15,625"",""11,735"",""19,531"",""12,187"",25,""2,575"",""1,560"",""1,951"",""1,676"",""2,439"",""1,873"""
"26,012,""14,060"",""17,576"",""13,411"",""21,970"",""14,060"",26,""2,725"",""1,686"",""2,107"",""1,833"",""2,633"",""2,080"""
"28,737,""15,746"",""19,683"",""15,244"",""24,603"",""16,140"",27,""2,873"",""1,815"",""2,269"",""1,998"",""2,837"",""2,299"""
"31,610,""17,561"",""21,952"",""17,242"",""27,440"",""18,439"",28,""3,022"",""1,950"",""2,437"",""2,169"",""3,046"",""2,535"""
"34,632,""19,511"",""24,389"",""19,411"",""30,486"",""20,974"",29,""3,168"",""2,089"",""2,611"",""2,349"",""3,264"",""2,786"""
"37,800,""21,600"",""27,000"",""21,760"",""33,750"",""23,760"",30,""3,311"",""2,232"",""2,791"",""2,534"",""3,488"",""3,051"""
"41,111,""23,832"",""29,791"",""24,294"",""37,238"",""26,811"",31,""3,453"",""2,382"",""2,977"",""2,727"",""3,722"",""3,335"""
"44,564,""26,214"",""32,768"",""27,021"",""40,960"",""30,146"",32,""3,591"",""2,535"",""3,169"",""2,928"",""3,961"",""3,634"""
"48,155,""28,749"",""35,937"",""29,949"",""44,921"",""33,780"",33,""3,726"",""2,694"",""3,367"",""3,135"",""4,209"",""3,951"""
"51,881,""31,443"",""39,304"",""33,084"",""49,130"",""37,731"",34,""3,856"",""2,857"",""3,571"",""3,351"",""4,463"",""4,286"""
"55,737,""34,300"",""42,875"",""36,435"",""53,593"",""42,017"",35,""3,982"",""3,024"",""3,781"",""3,572"",""4,727"",""4,639"""
"59,719,""37,324"",""46,656"",""40,007"",""58,320"",""46,656"",36,""4,103"",""3,198"",""3,997"",""3,801"",""4,996"",""3,997"""
"63,822,""40,522"",""50,653"",""43,808"",""63,316"",""50,653"",37,""4,219"",""3,375"",""4,219"",""4,038"",""5,274"",""5,316"""
"68,041,""43,897"",""54,872"",""47,846"",""68,590"",""55,969"",38,""4,328"",""3,558"",""4,447"",""4,281"",""5,558"",""4,536"""
"72,369,""47,455"",""59,319"",""52,127"",""74,148"",""60,505"",39,""4,431"",""3,745"",""4,681"",""4,533"",""5,852"",""6,055"""
"76,800,""51,200"",""64,000"",""56,660"",""80,000"",""66,560"",40,""4,526"",""3,936"",""4,921"",""4,790"",""6,151"",""5,117"""
"81,326,""55,136"",""68,921"",""61,450"",""86,151"",""71,677"",41,""4,616"",""4,134"",""5,167"",""5,055"",""6,459"",""6,856"""
"85,942,""59,270"",""74,088"",""66,505"",""92,610"",""78,533"",42,""4,695"",""4,335"",""5,419"",""5,328"",""6,773"",""5,744"""
"90,637,""63,605"",""79,507"",""71,833"",""99,383"",""84,277"",43,""4,769"",""4,542"",""5,677"",""5,607"",""7,097"",""7,721"""
"95,406,""68,147"",""85,184"",""77,440"",""106,480"",""91,998"",44,""4,831"",""4,753"",""5,941"",""5,895"",""7,426"",""6,417"""
"100,237,""72,900"",""91,125"",""83,335"",""113,906"",""98,415"",45,""4,885"",""4,968"",""6,211"",""6,188"",""7,764"",""8,654"""
"105,122,""77,868"",""97,336"",""89,523"",""121,670"",""107,069"",46,""4,930"",""5,190"",""6,487"",""6,489"",""8,108"",""7,136"""
"110,052,""83,058"",""103,823"",""96,012"",""129,778"",""114,205"",47,""4,963"",""5,415"",""6,769"",""6,798"",""8,462"",""9,658"""
"115,015,""88,473"",""110,592"",""102,810"",""138,240"",""123,863"",48,""4,986"",""5,646"",""7,057"",""7,113"",""8,821"",""7,903"""
"120,001,""94,119"",""117,649"",""109,923"",""147,061"",""131,766"",49,""4,999"",""5,881"",""7,351"",""7,437"",""9,189"",""10,734"""
"125,000,""100,000"",""125,000"",""117,360"",""156,250"",""142,500"",50,""6,324"",""6,120"",""7,651"",""7,766"",""9,563"",""8,722"""
"131,324,""106,120"",""132,651"",""125,126"",""165,813"",""151,222"",51,""6,471"",""6,366"",""7,957"",""8,103"",""9,947"",""11,883"""
"137,795,""112,486"",""140,608"",""133,229"",""175,760"",""163,105"",52,""6,615"",""6,615"",""8,269"",""8,448"",""10,336"",""9,592"""
"144,410,""119,101"",""148,877"",""141,677"",""186,096"",""172,697"",53,""6,755"",""6,870"",""8,587"",""8,799"",""10,734"",""13,110"""
"151,165,""125,971"",""157,464"",""150,476"",""196,830"",""185,807"",54,""6,891"",""7,129"",""8,911"",""9,159"",""11,138"",""10,515"""
"158,056,""133,100"",""166,375"",""159,635"",""207,968"",""196,322"",55,""7,023"",""7,392"",""9,241"",""9,524"",""11,552"",""14,417"""
"165,079,""140,492"",""175,616"",""169,159"",""219,520"",""210,739"",56,""7,150"",""7,662"",""9,577"",""9,897"",""11,971"",""11,492"""
"172,229,""148,154"",""185,193"",""179,056"",""231,491"",""222,231"",57,""7,274"",""7,935"",""9,919"",""10,278"",""12,399"",""15,805"""
"179,503,""156,089"",""195,112"",""189,334"",""243,890"",""238,036"",58,""7,391"",""8,214"",""10,267"",""10,665"",""12,833"",""12,526"""
"186,894,""164,303"",""205,379"",""199,999"",""256,723"",""250,562"",59,""7,506"",""8,497"",""10,621"",""11,061"",""13,277"",""17,278"""
"194,400,""172,800"",""216,000"",""211,060"",""270,000"",""267,840"",60,""7,613"",""8,784"",""10,981"",""11,462"",""13,726"",""13,616"""
"202,013,""181,584"",""226,981"",""222,522"",""283,726"",""281,456"",61,""7,715"",""9,078"",""11,347"",""11,871"",""14,184"",""18,837"""
"209,728,""190,662"",""238,328"",""234,393"",""297,910"",""300,293"",62,""7,812"",""9,375"",""11,719"",""12,288"",""14,648"",""14,766"""
"217,540,""200,037"",""250,047"",""246,681"",""312,558"",""315,059"",63,""7,903"",""9,678"",""12,097"",""12,711"",""15,122"",""20,485"""
"225,443,""209,715"",""262,144"",""259,392"",""327,680"",""335,544"",64,""7,988"",""9,985"",""12,481"",""13,143"",""15,601"",""15,976"""
"233,431,""219,700"",""274,625"",""272,535"",""343,281"",""351,520"",65,""8,065"",""10,296"",""12,871"",""13,580"",""16,089"",""22,224"""
"241,496,""229,996"",""287,496"",""286,115"",""359,370"",""373,744"",66,""8,137"",""10,614"",""13,267"",""14,025"",""16,583"",""17,247"""
"249,633,""240,610"",""300,763"",""300,140"",""375,953"",""390,991"",67,""8,201"",""10,935"",""13,669"",""14,478"",""17,087"",""24,059"""
"257,834,""251,545"",""314,432"",""314,618"",""393,040"",""415,050"",68,""9,572"",""11,262"",""14,077"",""14,937"",""17,596"",""18,581"""
"267,406,""262,807"",""328,509"",""329,555"",""410,636"",""433,631"",69,""9,052"",""11,593"",""14,491"",""15,405"",""18,114"",""25,989"""
"276,458,""274,400"",""343,000"",""344,960"",""428,750"",""459,620"",70,""9,870"",""11,928"",""14,911"",""15,878"",""18,638"",""19,980"""
"286,328,""286,328"",""357,911"",""360,838"",""447,388"",""479,600"",71,""10,030"",""12,270"",""15,337"",""16,359"",""19,172"",""28,017"""
"296,358,""298,598"",""373,248"",""377,197"",""466,560"",""507,617"",72,""9,409"",""12,615"",""15,769"",""16,848"",""19,711"",""21,446"""
"305,767,""311,213"",""389,017"",""394,045"",""486,271"",""529,063"",73,""10,307"",""12,966"",""16,207"",""17,343"",""20,259"",""30,146"""
